Date,High,Low,Open,Close,Volume,Adj Close
2017-01-02,26720.98046875,26447.060546875,26711.150390625,26595.44921875,8000.0,26595.44921875
2017-01-03,26724.400390625,26488.369140625,26616.919921875,26643.240234375,9800.0,26643.240234375
2017-01-04,26723.369140625,26606.060546875,26677.220703125,26633.130859375,8100.0,26633.130859375
2017-01-05,26917.2109375,26738.419921875,26738.419921875,26878.240234375,9800.0,26878.240234375
2017-01-06,27009.609375,26733.330078125,26929.689453125,26759.23046875,7800.0,26759.23046875
2017-01-09,26860.880859375,26701.1796875,26860.810546875,26726.55078125,6400.0,26726.55078125
2017-01-10,26914.94921875,26804.169921875,26811.630859375,26899.560546875,8600.0,26899.560546875
2017-01-11,27174.869140625,26978.439453125,26978.439453125,27140.41015625,12000.0,27140.41015625
2017-01-12,27278.9296875,27166.689453125,27171.66015625,27247.16015625,11700.0,27247.16015625
2017-01-13,27459.75,27143.0703125,27378.009765625,27238.060546875,10200.0,27238.060546875
2017-01-16,27335.080078125,27172.6796875,27238.349609375,27288.169921875,12600.0,27288.169921875
2017-01-17,27381.4296875,27179.189453125,27331.8203125,27235.66015625,8100.0,27235.66015625
2017-01-18,27422.669921875,27217.650390625,27261.759765625,27257.640625,9500.0,27257.640625
2017-01-19,27348.189453125,27219.890625,27253.33984375,27308.599609375,10800.0,27308.599609375
2017-01-20,27264.41015625,27009.810546875,27232.689453125,27034.5,8800.0,27034.5
2017-01-23,27167.7890625,26963.580078125,26990.9296875,27117.33984375,6600.0,27117.33984375
2017-01-24,27393.349609375,27140.849609375,27170.880859375,27375.580078125,6800.0,27375.580078125
2017-01-25,27736.830078125,27439.6796875,27462.830078125,27708.140625,12200.0,27708.140625
2017-01-27,27980.390625,27759.48046875,27761.029296875,27882.4609375,14300.0,27882.4609375
2017-01-30,27947.369140625,27813.3203125,27866.80078125,27849.560546875,8600.0,27849.560546875
2017-01-31,27867.919921875,27624.5390625,27867.919921875,27655.9609375,10700.0,27655.9609375
2017-02-01,28159.5390625,27590.099609375,27669.080078125,28141.640625,18200.0,28141.640625
2017-02-02,28299.919921875,28070.810546875,28167.830078125,28226.609375,17200.0,28226.609375
2017-02-03,28280.580078125,28127.1796875,28270.669921875,28240.51953125,10800.0,28240.51953125
2017-02-06,28487.279296875,28340.390625,28340.390625,28439.279296875,10000.0,28439.279296875
2017-02-07,28483.41015625,28239.119140625,28443.23046875,28335.16015625,10800.0,28335.16015625
2017-02-08,28391.640625,28149.080078125,28386.080078125,28289.919921875,10900.0,28289.919921875
2017-02-09,28469.48046875,28152.1796875,28349.220703125,28329.69921875,10200.0,28329.69921875
2017-02-10,28456.1796875,28286.80078125,28367.169921875,28334.25,13700.0,28334.25
2017-02-13,28458.80078125,28197.380859375,28450.419921875,28351.619140625,9400.0,28351.619140625
